PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40722330","Prediction of Parkinson Disease Using Long-Term, Short-Term Acoustic Features Based on Machine Learning","Rashidi M, Arima S, Stetco AC, Coppola C, Musarò D, Greco M, Damato M, My F, Lupo A, Lorenzo M, Danieli A, Maruccio G, Argentiero A, Buccoliero A, Donzella MD, Maffia M.","Brain Sci. 2025 Jul 10;15(7):739. doi: 10.3390/brainsci15070739.","Rashidi M","Brain Sci","2025","2025/07/29","PMC12294038","","10.3390/brainsci15070739"
"37425329","The impact of loneliness on quality of life in people with Parkinson's disease: results from the Survey of Health, Ageing and Retirement in Europe","Prell T, Schönenberg A, Heimrich KG.","Front Med (Lausanne). 2023 Jun 23;10:1183289. doi: 10.3389/fmed.2023.1183289. eCollection 2023.","Prell T","Front Med (Lausanne)","2023","2023/07/10","PMC10326722","","10.3389/fmed.2023.1183289"
"37927278","Why the Gut Microbiome Must Be Considered When Evaluating the Impact of Pesticides on Parkinson's Disease Risk","Ré DB, Rideout HJ.","J Parkinsons Dis. 2023;13(7):1077-1078. doi: 10.3233/JPD-239004.","Ré DB","J Parkinsons Dis","2023","2023/11/06","PMC10657661","","10.3233/JPD-239004"
"33396272","Association between Cardiac Autonomic Control and Postural Control in Patients with Parkinson's Disease","Espinoza-Valdés Y, Córdova-Arellano R, Espinoza-Espinoza M, Méndez-Alfaro D, Bustamante-Aguirre JP, Maureira-Pareja HA, Zamunér AR.","Int J Environ Res Public Health. 2020 Dec 31;18(1):249. doi: 10.3390/ijerph18010249.","Espinoza-Valdés Y","Int J Environ Res Public Health","2020","2021/01/05","PMC7796175","","10.3390/ijerph18010249"
"41455163","Ultrasound for the assessment of muscle architecture in Parkinson's disease: A scoping review","Behraznia M, Ditroilo M, Smith T.","Clin Biomech (Bristol). 2026 Feb;132:106733. doi: 10.1016/j.clinbiomech.2025.106733. Epub 2025 Dec 19.","Behraznia M","Clin Biomech (Bristol)","2026","2025/12/27","","","10.1016/j.clinbiomech.2025.106733"
"35856921","Small Extracellular Vesicles Secreted by Nigrostriatal Astrocytes Rescue Cell Death and Preserve Mitochondrial Function in Parkinson's Disease","Leggio L, L'Episcopo F, Magrì A, Ulloa-Navas MJ, Paternò G, Vivarelli S, Bastos CAP, Tirolo C, Testa N, Caniglia S, Risiglione P, Pappalardo F, Serra A, García-Tárraga P, Faria N, Powell JJ, Peruzzotti-Jametti L, Pluchino S, García-Verdugo JM, Messina A, Marchetti B, Iraci N.","Adv Healthc Mater. 2022 Oct;11(20):e2201203. doi: 10.1002/adhm.202201203. Epub 2022 Aug 15.","Leggio L","Adv Healthc Mater","2022","2022/07/20","PMC11468249","","10.1002/adhm.202201203"
"36395336","A neurocomputational theory of action regulation predicts motor behavior in neurotypical individuals and patients with Parkinson's disease","Zhong S, Choi JW, Hashoush NG, Babayan D, Malekmohammadi M, Pouratian N, Christopoulos V.","PLoS Comput Biol. 2022 Nov 17;18(11):e1010111. doi: 10.1371/journal.pcbi.1010111. eCollection 2022 Nov.","Zhong S","PLoS Comput Biol","2022","2022/11/17","PMC9714880","","10.1371/journal.pcbi.1010111"
"33476876","Geospatial analysis of individual-based Parkinson's disease data supports a link with air pollution: A case-control study","Fleury V, Himsl R, Joost S, Nicastro N, Bereau M, Guessous I, Burkhard PR.","Parkinsonism Relat Disord. 2021 Feb;83:41-48. doi: 10.1016/j.parkreldis.2020.12.013. Epub 2021 Jan 12.","Fleury V","Parkinsonism Relat Disord","2021","2021/01/21","","","10.1016/j.parkreldis.2020.12.013"
"33337294","Effects of domotics on cognitive, social and personal functioning in patients with Parkinson's disease: A pilot study","Latella D, Maggio MG, Maresca G, Andaloro A, Anchesi S, Pajno V, De Luca R, Di Lorenzo G, Manuli A, Calabrò RS.","Assist Technol. 2022 Jul 4;34(4):423-428. doi: 10.1080/10400435.2020.1846095. Epub 2021 Apr 6.","Latella D","Assist Technol","2022","2020/12/18","","","10.1080/10400435.2020.1846095"
"38887056","Association Between Exposure to Particulate Matter and the Incidence of Parkinson's Disease: A Nationwide Cohort Study in Taiwan","Chen TB, Liang CS, Chang CM, Yang CC, Yu HL, Wu YS, Huang WJ, Tsai IJ, Yan YH, Wei CY, Yang CP.","J Mov Disord. 2024 Jul;17(3):313-321. doi: 10.14802/jmd.24003. Epub 2024 Jun 18.","Chen TB","J Mov Disord","2024","2024/06/18","PMC11300401","","10.14802/jmd.24003"
